materialAComposition,materialBComposition,materialBIndex,materialAIndex,interfacialDistance,materialBSurfaceCharge,materialASurfaceCharge,adhesionEnergy,interfaceEnergy,area,strain,converged
CsPbBr3,Pb4S3Br2,0,0,2.4724585447477967,0.0,0.0,-0.03644482238455399,0.051585462475110096,67.18882222953602,1.5749289136021354,True
CsPbBr3,Pb4S3Br2,0,1,3.07389752589755,0.0,0.0,-0.03144219554402883,0.05658786669690674,67.18882222953602,1.5749289136021354,True
CsPbBr3,Pb4S3Br2,3,0,2.9690522065875316,2.0,0.0,-0.061437063103008324,0.07403017548353356,67.18882222953602,1.5749289136021354,True
CsPbBr3,Pb4S3Br2,4,0,3.237070344938424,-2.0,0.0,-0.020767441957137405,0.11469887466086583,67.18882222953602,1.5749289136021354,True
CsPbBr3,Pb4S3Br2,3,1,3.7360164982847817,2.0,0.0,-0.017935920645730664,0.11753109532208271,67.18882222953602,1.5749289136021354,True
CsPbBr3,Pb4S3Br2,2,0,3.000457923928473,-2.0,0.0,-0.023900329067408174,0.12026062290576338,67.18882222953602,1.5749289136021354,True
CsPbBr3,Pb4S3Br2,4,1,3.7960027700539554,-2.0,0.0,-0.010049084577192552,0.12541700942208217,67.18882222953602,1.5749289136021354,True
CsPbBr3,Pb4S3Br2,5,0,3.3467918896435673,2.0,0.0,-0.007475325271596421,0.136684738391817,67.18882222953602,1.5749289136021354,True
CsPbBr3,Pb4S3Br2,2,1,3.9753745645855236,-2.0,0.0,-0.005889237299278114,0.13827149205516492,67.18882222953602,1.5749289136021354,True
CsPbBr3,Pb4S3Br2,5,1,3.6436811786133827,2.0,0.0,-0.005138888693817105,0.1390209523508678,67.18882222953602,1.5749289136021354,True
CsPbBr3,Pb4S3Br2,6,1,3.1424229452136396,4.0,0.0,-0.01800337026311018,0.33260595944141014,67.18882222953602,1.5749289136021354,True
CsPbBr3,Pb4S3Br2,6,0,2.6437344164850454,4.0,0.0,-0.0172829992653734,0.3333265530578754,67.18882222953602,1.5749289136021354,True
CsPbBr3,Pb4S3Br2,1,1,3.9091207121778586,-4.0,0.0,-0.003252570438078866,0.3473567597031853,67.18882222953602,1.5749289136021354,True
CsPbBr3,Pb4S3Br2,1,0,4.019592849111362,-4.0,0.0,-0.0031344768318925086,0.3474750759281002,67.18882222953602,1.5749289136021354,True
